rollout_id,grid_x,grid_y,base_idx,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.14500000000000002,-0.07,0,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,-0.09946852901148649,-0.015855755798393857,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_000.json,ok,
1,-0.14500000000000002,-0.07,1,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,-0.08827475473610441,-0.027853331759681653,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_001.json,ok,
2,-0.14500000000000002,-0.07,2,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,-0.0911889343059509,-0.022133143841509637,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_002.json,ok,
3,-0.14500000000000002,-0.035,0,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,-0.09343428388218533,0.012698339622730027,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_003.json,ok,
4,-0.14500000000000002,-0.035,1,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,-0.09942227245342253,0.005866324214243422,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_004.json,ok,
5,-0.14500000000000002,-0.035,2,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,-0.09067477292315444,0.005924856074554906,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_005.json,ok,
6,-0.14500000000000002,0.0,0,-0.14389132123665394,0.0009202836766242301,0.8996214132593984,0.0,-0.0960433615748049,0.0332991400183052,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_006.json,ok,
7,-0.14500000000000002,0.0,1,-0.14389132123665394,0.000920283676624238,0.8996214132593984,0.0,-0.09080773761854996,0.038961299628312004,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_007.json,ok,
8,-0.14500000000000002,0.0,2,-0.14389132123665394,0.0009202836766242393,0.8996214132593984,0.0,-0.09882964856803869,0.03397730921480991,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_008.json,ok,
9,-0.14500000000000002,0.035,0,-0.14499154926823227,0.034963102621057784,0.8984038567263857,0.0,-0.09827010962085625,0.062226754378672845,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_009.json,ok,
10,-0.14500000000000002,0.035,1,-0.14499154926823227,0.034963102621057784,0.8984038567263857,0.0,-0.09770768627987646,0.06015494561082446,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_010.json,ok,
11,-0.14500000000000002,0.035,2,-0.14499154926823227,0.034963102621057784,0.8984038567263857,0.0,-0.09282375292980738,0.06318498175097689,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p75_noisy/trajectories/rollout_011.json,ok,
