rollout_id,grid_x,grid_y,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.21,0.05000000000000002,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,0.062041119236373066,0.16430923599289632,0.9131692323096064,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_000.json,ok,
1,-0.21,0.11,-0.21139062715708842,0.11123972621790341,0.9012178720074293,0.0018629989225410074,0.04532858684444236,0.17740331806855605,0.9135833079045373,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_001.json,ok,
2,-0.21,0.16999999999999998,-0.21006184573162887,0.17007622160650096,0.9041026562843515,9.815613999287168e-05,0.054988902778212556,0.1850882106071845,0.9359125143581356,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_002.json,ok,
3,-0.21,0.22999999999999995,-0.20240502482702316,0.2313955660783047,0.9004994246758001,0.007722127463144423,0.06119574042930995,0.1575572097720359,0.910654724767874,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_003.json,ok,
4,-0.21,0.2899999999999999,-0.2094267500375219,0.2902180592218435,0.899759312144103,0.0006133231967830422,-0.006374480282301309,0.1323136369852219,0.9107694780230213,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_004.json,ok,
5,-0.21,0.35,-0.2097182424516896,0.3500926632764503,0.8989539967094102,0.0002966037741371253,0.04738863256736035,0.16795293905513595,0.9131312894822339,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_005.json,ok,
6,-0.15,0.05000000000000002,-0.14999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,0.068703840661786,0.16755295381050114,0.9128077636908898,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_006.json,ok,
7,-0.15,0.11,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_007.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.150,0.110), actual=(-0.141,0.094), err=0.0184m')"
8,-0.15,0.16999999999999998,-0.15128172456354974,0.16927328252881016,0.9010245071577734,0.0014734096985357882,-0.11418314982000817,0.1258186883119932,0.9376150242534587,True,94,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_008.json,ok,
9,-0.15,0.22999999999999995,-0.1445450037120378,0.21762594129798704,0.9022531210802043,0.013523102945054544,0.025950823268565407,0.15190381551062637,0.9120055669566123,False,220,/Users/gsn89/ReadTeam/spike2_trajectories/rollout_009.json,ok,
