rollout_id,grid_x,grid_y,base_idx,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.13,0.13,0,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_000.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.106,0.109), err=0.0322m')"
1,-0.13,0.13,1,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_001.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.113,0.116), err=0.0217m')"
2,-0.13,0.13,2,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_002.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.130), actual=(-0.118,0.118), err=0.0167m')"
3,-0.13,0.165,0,-0.1258087344320035,0.16226782614283095,0.8993545042784162,0.00500314711429428,-0.112232581864024,0.12361838178476381,0.9192533650219871,True,110,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_003.json,ok,
4,-0.13,0.165,1,-0.12862575807797622,0.16234948191961532,0.9003439497112444,0.0029855965827106945,-0.08149551472719962,0.12199686843042751,0.930534364197128,True,88,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_004.json,ok,
5,-0.13,0.165,2,-0.1336271187727663,0.1648410466920208,0.9036638689897623,0.003630600053141533,0.017326798015025766,0.149409208527953,0.9297569087171569,True,102,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_005.json,ok,
6,-0.13,0.2,0,-0.13409461819676496,0.2010194637521154,0.9026298418101127,0.00421962137153986,-0.14983331282340762,0.16584866722327096,0.9162100532603629,True,110,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_006.json,ok,
7,-0.13,0.2,1,-0.12681400296479678,0.20185277610395277,0.901143952860335,0.003685560527206428,0.0462417137140941,0.1510470745191577,0.9158021697193426,False,220,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_007.json,ok,
8,-0.13,0.2,2,-0.13100541854541056,0.2008759897728112,0.8995488344674073,0.0013335008562146843,0.05176503552886087,0.15858381517844328,0.9114274838772546,False,220,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_008.json,ok,
9,-0.13,0.23500000000000001,0,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/spike3_trajectories/rollout_009.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.130,0.235), actual=(-0.111,0.235), err=0.0190m')"
