rollout_id,grid_x,grid_y,base_idx,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.21,0.05000000000000002,0,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,-0.20818309265277393,0.07354445895210897,0.9168233055623092,True,79,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_000.json,ok,
1,-0.21,0.05000000000000002,1,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,-0.20771122517563426,0.06235768163425257,0.9218448378160646,True,80,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_001.json,ok,
2,-0.21,0.05000000000000002,2,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,-0.21819538431173705,0.07739193378166152,0.9211997210914722,True,79,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_002.json,ok,
3,-0.21,0.05000000000000002,3,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,-0.20914218646274432,0.07437661388843651,0.9161102816602996,True,79,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_003.json,ok,
4,-0.21,0.05000000000000002,4,-0.20999154926823224,0.0499631026210578,0.8984038567263857,3.785276000790654e-05,-0.21571872807918732,0.07554824525894249,0.914243959698241,False,220,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_004.json,ok,
5,-0.21,0.125,0,-0.21008967662286213,0.12756006768230096,0.902151000950661,0.0025616378422114615,-0.20011958677852096,0.11768111001881135,0.9283033172719344,False,220,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_005.json,ok,
6,-0.21,0.125,1,-0.20997087424276642,0.12691270104236138,0.9018787937362002,0.0019129227865192946,-0.23213538450472737,0.11329979620227186,0.9143355779488198,False,220,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_006.json,ok,
7,-0.21,0.125,2,-0.21399493517038753,0.12326558270135604,0.900723849131045,0.004355193495292115,-0.20729283914227364,0.20073020205565315,0.9134188673563451,False,220,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_007.json,ok,
8,-0.21,0.125,3,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_008.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.210,0.125), actual=(-0.193,0.068), err=0.0593m')"
9,-0.21,0.125,4,nan,nan,nan,nan,nan,nan,nan,False,0,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_009.json,error,"RuntimeError('Object override did not take cleanly: commanded=(-0.210,0.125), actual=(-0.222,0.080), err=0.0462m')"
10,-0.21,0.19999999999999998,0,-0.20995402632697657,0.19988990154662034,0.9030114630701847,0.00011931155873532772,-0.035779998631751415,0.1737431916292037,0.9203514288916823,False,220,/Users/gsn89/ReadTeam/wide_task0_pi05_w15cm_trajectories/rollout_010.json,ok,
