rollout_id,grid_x,grid_y,base_idx,actual_object_init_x,actual_object_init_y,actual_object_init_z,override_error_m,grasp_point_x,grasp_point_y,grasp_point_z,success,num_steps,ee_trajectory_path,status,error
0,-0.14500000000000002,-0.07,0,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,0.008981627166178955,0.029444341441562168,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_000.json,ok,
1,-0.14500000000000002,-0.07,1,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,0.004557480975990288,0.038628975621262565,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_001.json,ok,
2,-0.14500000000000002,-0.07,2,-0.13874645654164267,-0.06968406812002437,0.9065108535644182,0.0,0.014253942376870284,0.04102845009435338,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_002.json,ok,
3,-0.14500000000000002,-0.035,0,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,0.008098279661692524,0.03992930573558749,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_003.json,ok,
4,-0.14500000000000002,-0.035,1,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,0.017150390646805062,0.048759290777884635,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_004.json,ok,
5,-0.14500000000000002,-0.035,2,-0.13891788637933594,-0.03547455936539264,0.9064947639509332,0.0,0.006984477960354165,0.03981011741422606,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_005.json,ok,
6,-0.14500000000000002,0.0,0,-0.14389132123665394,0.0009202836766242301,0.8996214132593984,0.0,0.005476724049329352,0.03218433344150479,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_006.json,ok,
7,-0.14500000000000002,0.0,1,-0.14389132123665394,0.000920283676624238,0.8996214132593984,0.0,0.007565931884715362,0.034524591643311155,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_007.json,ok,
8,-0.14500000000000002,0.0,2,-0.14389132123665394,0.0009202836766242393,0.8996214132593984,0.0,0.017879132783041915,0.043654775326952694,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_008.json,ok,
9,-0.14500000000000002,0.035,0,-0.14499154926823227,0.034963102621057784,0.8984038567263857,0.0,0.004862629152222577,0.04503917786725532,0.9388520129183997,False,180,/Users/gsn89/ReadTeam/controls_task2/ctrl_g0p00_noisy/trajectories/rollout_009.json,ok,
